,date,name,point
0,2020-09-01,가버나움,9.59
1,2020-09-01,동주,9.37
2,2020-09-01,소년시절의 너,9.37
3,2020-09-01,다시 태어나도 우리,9.35
4,2020-09-01,소원,9.32
5,2020-09-01,패왕별희 디 오리지널,9.31
6,2020-09-01,우리들,9.25
7,2020-09-01,피아니스트의 전설,9.25
8,2020-09-01,인셉션,9.23
9,2020-09-01,톰보이,9.21
10,2020-09-01,사랑과 영혼,9.19
11,2020-09-01,제리 맥과이어,9.16
12,2020-09-01,타오르는 여인의 초상,9.04
13,2020-09-01,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,9.04
14,2020-09-01,박하사탕,9.04
15,2020-09-01,왕의 남자,9.04
16,2020-09-01,인생 후르츠,9.02
17,2020-09-01,윤희에게,8.97
18,2020-09-01,나의 소녀시대,8.84
19,2020-09-01,아멜리에,8.82
20,2020-09-01,김복동,8.82
21,2020-09-01,메멘토,8.82
22,2020-09-01,소공녀,8.78
23,2020-09-01,벌새,8.75
24,2020-09-01,브리짓 존스의 일기,8.68
25,2020-09-01,피아노,8.65
26,2020-09-01,베스트 오퍼,8.65
27,2020-09-01,69세,8.64
28,2020-09-01,찬실이는 복도 많지,8.63
29,2020-09-01,트로이,8.62
30,2020-09-01,라라랜드,8.61
31,2020-09-01,500일의 썸머,8.42
32,2020-09-01,테넷,8.37
33,2020-09-01,다가오는 것들,8.34
34,2020-09-01,유스,8.3
35,2020-09-01,밤쉘: 세상을 바꾼 폭탄선언,8.3
36,2020-09-01,메기,8.29
37,2020-09-01,사도,8.26
38,2020-09-01,로마 위드 러브,8.18
39,2020-09-01,야구소녀,8.12
40,2020-09-01,박열,8.1
41,2020-09-01,존 윅 - 리로드,8.05
42,2020-09-01,매치 포인트,7.97
43,2020-09-01,라붐,7.94
44,2020-09-01,그레이트 뷰티,7.92
45,2020-09-01,반교: 디텐션,7.86
46,2020-09-01,아이 엠 러브,7.85
47,2020-09-01,다만 악에서 구하소서,7.79
48,2020-09-01,카페 소사이어티,7.69
49,2020-09-01,도둑들,7.63
50,2020-09-02,가버나움,9.59
51,2020-09-02,소년시절의 너,9.37
52,2020-09-02,동주,9.37
53,2020-09-02,다시 태어나도 우리,9.35
54,2020-09-02,소원,9.32
55,2020-09-02,패왕별희 디 오리지널,9.31
56,2020-09-02,우리들,9.25
57,2020-09-02,인셉션,9.23
58,2020-09-02,톰보이,9.21
59,2020-09-02,사랑과 영혼,9.19
60,2020-09-02,제리 맥과이어,9.16
61,2020-09-02,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,9.05
62,2020-09-02,타오르는 여인의 초상,9.04
63,2020-09-02,박하사탕,9.04
64,2020-09-02,왕의 남자,9.04
65,2020-09-02,윤희에게,8.97
66,2020-09-02,나의 소녀시대,8.84
67,2020-09-02,아멜리에,8.82
68,2020-09-02,김복동,8.82
69,2020-09-02,메멘토,8.81
70,2020-09-02,브리짓 존스의 일기,8.68
71,2020-09-02,피아노,8.65
72,2020-09-02,베스트 오퍼,8.65
73,2020-09-02,69세,8.63
74,2020-09-02,찬실이는 복도 많지,8.63
75,2020-09-02,트로이,8.62
76,2020-09-02,라라랜드,8.61
77,2020-09-02,500일의 썸머,8.42
78,2020-09-02,테넷,8.36
79,2020-09-02,유스,8.3
80,2020-09-02,밤쉘: 세상을 바꾼 폭탄선언,8.3
81,2020-09-02,메기,8.29
82,2020-09-02,사도,8.26
83,2020-09-02,로마 위드 러브,8.18
84,2020-09-02,야구소녀,8.12
85,2020-09-02,박열,8.1
86,2020-09-02,존 윅 - 리로드,8.05
87,2020-09-02,매치 포인트,7.97
88,2020-09-02,라붐,7.94
89,2020-09-02,반교: 디텐션,7.86
90,2020-09-02,아이 엠 러브,7.84
91,2020-09-02,다만 악에서 구하소서,7.78
92,2020-09-02,카페 소사이어티,7.69
93,2020-09-02,도둑들,7.63
94,2020-09-02,오케이 마담,6.59
95,2020-09-02,삽질,6.4
96,2020-09-02,블루 아워,6.27
97,2020-09-02,반도,5.87
98,2020-09-02,강철비2: 정상회담,5.04
99,2020-09-03,가버나움,9.59
100,2020-09-03,소년시절의 너,9.37
101,2020-09-03,동주,9.37
102,2020-09-03,다시 태어나도 우리,9.35
103,2020-09-03,소원,9.32
104,2020-09-03,패왕별희 디 오리지널,9.31
105,2020-09-03,우리들,9.25
106,2020-09-03,인셉션,9.23
107,2020-09-03,톰보이,9.21
108,2020-09-03,사랑과 영혼,9.19
109,2020-09-03,제리 맥과이어,9.16
110,2020-09-03,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,9.06
111,2020-09-03,타오르는 여인의 초상,9.04
112,2020-09-03,박하사탕,9.04
113,2020-09-03,왕의 남자,9.04
114,2020-09-03,인생 후르츠,9.02
115,2020-09-03,윤희에게,8.97
116,2020-09-03,나의 소녀시대,8.84
117,2020-09-03,아멜리에,8.82
118,2020-09-03,김복동,8.82
119,2020-09-03,메멘토,8.81
120,2020-09-03,소공녀,8.77
121,2020-09-03,벌새,8.75
122,2020-09-03,브리짓 존스의 일기,8.68
123,2020-09-03,피아노,8.65
124,2020-09-03,찬실이는 복도 많지,8.63
125,2020-09-03,69세,8.63
126,2020-09-03,라라랜드,8.61
127,2020-09-03,기생충,8.5
128,2020-09-03,500일의 썸머,8.42
129,2020-09-03,테넷,8.34
130,2020-09-03,다가오는 것들,8.34
131,2020-09-03,유스,8.3
132,2020-09-03,밤쉘: 세상을 바꾼 폭탄선언,8.3
133,2020-09-03,메기,8.29
134,2020-09-03,사도,8.26
135,2020-09-03,로마 위드 러브,8.18
136,2020-09-03,야구소녀,8.13
137,2020-09-03,박열,8.1
138,2020-09-03,존 윅 - 리로드,8.05
139,2020-09-03,드라이브,8.05
140,2020-09-03,매치 포인트,7.97
141,2020-09-03,라붐,7.94
142,2020-09-03,그레이트 뷰티,7.92
143,2020-09-03,반교: 디텐션,7.87
144,2020-09-03,아이 엠 러브,7.84
145,2020-09-03,다만 악에서 구하소서,7.78
146,2020-09-03,카페 소사이어티,7.69
147,2020-09-03,도둑들,7.63
148,2020-09-03,오케이 마담,6.59
149,2020-09-04,가버나움,9.59
150,2020-09-04,소년시절의 너,9.38
151,2020-09-04,동주,9.37
152,2020-09-04,소원,9.32
153,2020-09-04,패왕별희 디 오리지널,9.31
154,2020-09-04,우리들,9.25
155,2020-09-04,인셉션,9.23
156,2020-09-04,톰보이,9.21
157,2020-09-04,사랑과 영혼,9.19
158,2020-09-04,제리 맥과이어,9.16
159,2020-09-04,타오르는 여인의 초상,9.04
160,2020-09-04,박하사탕,9.04
161,2020-09-04,왕의 남자,9.04
162,2020-09-04,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,9.03
163,2020-09-04,인생 후르츠,9.02
164,2020-09-04,윤희에게,8.97
165,2020-09-04,나의 소녀시대,8.84
166,2020-09-04,아멜리에,8.82
167,2020-09-04,김복동,8.82
168,2020-09-04,메멘토,8.82
169,2020-09-04,소공녀,8.77
170,2020-09-04,벌새,8.75
171,2020-09-04,브리짓 존스의 일기,8.68
172,2020-09-04,피아노,8.65
173,2020-09-04,찬실이는 복도 많지,8.63
